0007-9235	187040
0028-4793	72406
1474-1776	57000
0009-2665	47928
0140-6736	47831
1471-0072	46602
0098-7484	44405
1087-0156	41667
1471-0056	40282
0028-0836	40137
1474-1733	39932
1476-1122	39737
1748-3387	38986
0306-0012	38618
1749-4885	37852
0036-8075	37205
1474-175X	37147
0034-6861	36917
1470-2045	33900
0079-6425	31140
0066-4146	30733
0092-8674	30410
1078-8956	29886
1754-5692	29518
1433-8351	29300
0927-796X	29280
1471-003X	28880
0732-0582	28396
1061-4036	27959
1535-6108	27407
0031-9333	27312
1553-4006	26853
1740-1526	26819
1723-8617	26561
1723-8617	26561
1474-4422	26284
1755-4330	25870
0079-6700	25766
1548-7091	25062
0732-183X	24008
1934-5909	23394
1074-7613	22845
1543-5008	22808
1745-2473	22806
0001-8732	21818
1369-7021	21695
1529-2908	21506
1756-1833	20785
1759-4774	20693
0001-4842	20268
1759-4758	20257
0195-668X	20212
1465-7392	20060
2159-8274	20011
0893-8512	19958
0066-4308	19950
0066-4308	19950
0066-4154	19939
0735-1097	19896
1473-3099	19864
0935-9648	19791
2213-8587	19742
0009-7322	19309
1758-678X	19304
1758-678X	19304
2213-2600	19287
1947-5454	18588
0016-5085	18392
1759-5029	18318
1550-4131	18164
0031-6997	17893
1097-6256	17839
1943-8206	17833
2214-109X	17686
2214-109X	17686
1748-0132	17476
0370-1573	17425
0360-1285	17382
0003-4819	17202
1553-877X	17188
0033-2909	16793
0033-2909	16793
1946-6234	16761
1614-6832	16721
0017-5749	16658
0968-0004	16630
2374-2437	16559
2168-6106	16538
1047-840X	16455
0302-2838	16265
0163-769X	15745
0147-006X	15630
1001-0602	15606
1364-6613	15402
1364-6613	15402
0962-8924	15333
2168-622X	15307
2168-622X	15307
0169-5347	15268
1552-4450	15066
1931-3128	14946
1081-0706	14917
1083-4087	14789
0066-426X	14741
1097-2765	14714
1092-2172	14533
0034-4885	14311
1759-5002	14299
0140-525X	14200
0140-525X	14200
0002-953X	14176
0002-953X	14176
1529-1006	14143
2047-7538	14098
0896-6273	14024
0066-4189	14020
1759-0876	14016
0166-0616	14000
0009-7330	13965
1936-0851	13942
1752-0894	13941
0002-7863	13858
1571-0645	13840
1759-5045	13678
1931-9401	13667
0066-4219	13609
1560-2745	13465
1531-7331	13432
0167-5729	13333
0010-8545	13324
1471-4906	13287
0270-9139	13246
0301-0082	13217
1073-449X	13204
1359-4184	13204
0006-4971	13164
0091-6749	13081
0362-1642	12877
0066-4170	12867
0003-4967	12811
0165-6147	12797
2160-3308	12789
0021-9738	12784
1530-6984	12712
1545-9993	12595
0027-8874	12589
0168-8278	12486
1614-4961	12455
2211-2855	12343
8755-1209	12340
1941-1405	12333
1389-5567	12317
0001-6322	12213
0168-6445	12198
1759-4790	12188
1759-5061	12146
1548-5943	12136
1548-5943	12136
1616-301X	12124
2041-1723	12124
0342-4642	12015
1433-7851	11994
0022-1007	11991
1088-9051	11922
1360-1385	11911
1474-760X	11908
1549-1676	11862
0149-5992	11857
0923-7534	11855
0169-409X	11764
1355-4786	11748
0887-6924	11702
1464-7931	11615
2215-0374	11588
2215-0374	11588
1350-9462	11587
0149-2195	11483
0006-3223	11412
0146-6410	11229
0163-7258	11127
0167-7799	11126
0166-2236	11124
1941-6520	11115
0066-4278	11115
0966-842X	11020
0265-0568	11014
0079-6727	11000
0066-4286	10981
1368-7646	10906
1043-2760	10893
0168-9525	10844
1471-4914	10732
1932-4529	10710
2051-6347	10706
1936-122X	10676
1089-778X	10629
2155-5435	10614
0734-9750	10597
0163-7827	10583
0903-1936	10569
1523-9829	10514
0163-6804	10435
0742-3098	10391
2055-026X	10300
0006-8950	10292
2168-6203	10251
0163-7525	10228
0163-7525	10228
1936-878X	10189
1543-592X	10182
0305-1048	10162
1754-2189	10032
2168-6149	10029
0955-0674	9937
0364-5134	9890
2352-3018	9842
1545-7885	9797
0261-4189	9792
1085-3278	9787
0084-6597	9780
0091-6765	9776
1744-4292	9750
2190-5991	9697
1751-7362	9664
0027-8424	9661
1053-5888	9654
1078-0432	9619
0105-2896	9614
1044-5323	9611
0002-9270	9566
1552-5260	9478
0897-4756	9466
0304-419X	9452
1461-023X	9449
0926-3373	9446
1548-7660	9436
0091-3022	9425
0066-4227	9415
0890-9369	9413
0363-7425	9408
0277-7037	9373
1088-8683	9361
1948-7185	9353
2095-4700	9326
0958-1669	9294
1757-4676	9249
0018-9219	9237
1534-5807	9174
1884-4049	9157
1044-579X	9141
1463-9262	9125
0008-5472	9122
2056-6387	9111
0199-9885	9054
2198-3844	9034
0002-9297	9025
1467-2960	9013
0003-4932	8980
1536-1284	8972
1046-6673	8966
0033-3190	8964
0033-3190	8964
1568-9972	8961
1087-0792	8958
0067-0049	8955
1063-5157	8917
0272-7358	8897
2050-7488	8867
0960-9822	8851
2095-5138	8843
1936-8798	8841
1674-2052	8827
1943-0264	8769
1838-7640	8766
0198-6325	8763
0012-9615	8759
0066-4197	8745
1040-4651	8726
0012-1797	8684
2041-6520	8668
2169-5172	8649
1613-6810	8643
0079-6816	8619
0950-6608	8605
1554-8627	8593
0305-7372	8589
1743-8977	8577
1469-221X	8568
1354-1013	8502
2049-2618	8496
2213-1779	8493
0031-9007	8462
0165-9936	8442
1863-8880	8434
2405-4712	8406
0142-9612	8402
0085-2538	8395
0952-7915	8384
1350-9047	8339
0162-8828	8329
0028-3878	8320
0149-7634	8299
2326-6066	8284
2211-1247	8282
0040-6376	8272
1098-3600	8229
0935-4956	8222
1080-6040	8222
0920-5691	8222
1058-4838	8216
0161-6420	8204
0002-5100	8182
0033-0620	8177
1096-7176	8142
1741-7015	8097
0733-8716	8085
1364-0321	8050
1540-9295	8039
0009-9147	8008
0954-6820	7980
2168-6254	7956
0021-9525	7955
2374-7943	7939
0003-6900	7921
1367-5931	7889
1467-7881	7883
2235-1795	7854
0168-3659	7786
1522-8517	7786
0956-5663	7780
0300-5771	7738
1759-4812	7735
0149-2063	7733
2334-2536	7727
2050-084X	7725
2162-402X	7719
0390-6078	7702
1063-6706	7671
2327-0608	7644
0896-8411	7641
0033-295X	7638
0033-295X	7638
0272-6386	7623
1077-5552	7600
2327-4662	7596
1527-8204	7579
0586-7614	7575
0586-7614	7575
0950-9232	7519
0031-5850	7511
1944-8244	7504
0038-6308	7497
1933-0219	7478
1568-1637	7452
1467-7644	7443
1936-1327	7435
0001-4273	7417
0945-053X	7400
1542-3565	7398
1073-8584	7391
2168-2267	7384
2040-3364	7367
0105-4538	7361
1745-6916	7359
1369-5266	7357
1998-0124	7354
0022-3050	7349
2213-6711	7338
1755-098X	7332
0028-646X	7330
1941-1413	7310
1367-4803	7307
0033-8419	7296
0269-2813	7286
0003-0007	7281
1619-7070	7277
0276-7783	7268
0276-7783	7268
0009-9236	7266
1743-7199	7241
0890-8044	7230
1864-5631	7226
0393-2990	7226
0001-8686	7223
1560-7917	7202
0306-2619	7182
0278-0046	7168
0193-936X	7160
0885-8993	7151
2352-3026	7123
1053-2498	7114
0160-4120	7088
0885-3185	7072
1756-994X	7071
1179-1349	7056
0012-8252	7051
0090-3493	7050
1755-263X	7020
0190-9622	7002
0078-3218	7000
1388-9842	6968
